,Accuracy,Loss
0,0.6733,443.7215342223644
1,0.6977,324.25880068540573
2,0.7094,304.8967830836773
3,0.6979,298.44724547863007
4,0.716,296.5169897377491
5,0.7161,286.48151475191116
6,0.7208,284.5827499330044
7,0.7141,283.16411939263344
8,0.7177,279.687791377306
9,0.7219,276.7817453742027
10,0.7253,277.6669178903103
11,0.7262,272.4471541941166
12,0.722,274.9907078742981
13,0.7238,273.5116263329983
14,0.7294,273.1222474873066
15,0.7296,271.809647500515
16,0.7252,265.02409118413925
17,0.7295,270.51356491446495
18,0.7302,270.98979994654655
19,0.7189,267.2869219481945
20,0.7251,268.95272505283356
21,0.7329,265.7231479883194
22,0.7239,265.08491826057434
23,0.7336,265.6799853146076
24,0.7284,263.18924885988235
25,0.7326,264.09908071160316
26,0.7303,267.15318217873573
27,0.7291,264.95590728521347
28,0.7334,262.95617866516113
29,0.7338,264.3721531033516
30,0.73,261.6005835980177
31,0.7333,258.7186235189438
32,0.7334,264.19603595137596
33,0.7353,262.6938383281231
34,0.7334,257.6922447681427
35,0.7365,258.2843471169472
36,0.738,261.86211290955544
37,0.7309,257.53188011050224
38,0.7367,258.32044795155525
39,0.7364,258.5728278160095
40,0.7366,255.3564254641533
41,0.736,258.21216106414795
42,0.7254,260.45899203419685
43,0.7405,258.008691072464
44,0.731,259.46930262446404
45,0.7407,255.6054921746254
46,0.7406,258.5882613956928
47,0.7356,258.80994471907616
48,0.7398,255.06087628006935
49,0.7357,254.78628087043762
50,0.7377,254.79421374201775
51,0.7389,253.84447824954987
52,0.7364,253.89640605449677
53,0.7422,253.5238425731659
54,0.7402,254.14589369297028
55,0.7411,257.12978559732437
56,0.7435,252.5066209435463
57,0.7458,252.57188273966312
58,0.7417,253.59120133519173
59,0.7402,248.64452770352364
60,0.7437,252.69066531956196
61,0.7356,250.30580012500286
62,0.7446,255.3005406856537
63,0.7373,252.4973106086254
64,0.7459,254.77794083952904
65,0.7433,254.2715505361557
66,0.7466,249.2294963747263
67,0.7453,250.416167229414
68,0.7397,249.17126232385635
69,0.7449,246.32916828989983
70,0.7463,250.294104129076
71,0.7401,251.17343373596668
72,0.7454,249.72934438288212
73,0.7498,247.91502638161182
74,0.7465,246.32125103473663
75,0.7466,249.3652278482914
76,0.7463,245.18689627945423
77,0.7477,248.03305415809155
78,0.738,251.10870453715324
79,0.751,243.70257690548897
80,0.7488,247.25829534232616
81,0.7493,244.80925710499287
82,0.7456,250.28909024596214
83,0.7467,246.87387573719025
84,0.7478,242.33765637874603
85,0.7511,242.43236488103867
86,0.7507,247.8380001783371
87,0.7526,244.67257818579674
88,0.7501,249.02730983495712
89,0.7531,242.21170762181282
90,0.7225,244.8883575797081
91,0.748,240.91204369068146
92,0.7518,245.8662942647934
93,0.7526,248.3365761935711
94,0.7465,243.71613658964634
95,0.7517,238.93084648251534
96,0.7498,244.77745887637138
97,0.7473,242.9527772963047
98,0.7496,242.3626098036766
99,0.749,241.63355454802513
